formula,target
Ga1S1,1.71
K1O8P1V2,0.0383
Cl1H3O5,5.2712
O2V1,0.8390000000000001
H4O6P2Sr1,6.5081
Cu1In1Te2,0.2499
I3Pb2S2Sb1,1.7673
B1H3Mg3O6,3.482
Ga1H4K1,4.9813
Hg3Te4Tl2,0.4721
Hg1I2,1.1852
O1Pb1,1.6621
F9O1Re1Sb1,1.8981
Fe5O12Si3,1.9058
Cu2K1S4V1,1.3382
C4Cd2H12O14,3.5679
O9P3Sc1,5.4608
I12Pt1Tb7,0.1354
Mn1N2Si1,2.4237
Cd1I2,2.3708
Bi1Cr1O3,1.4191
H2Sr1,1.2972
Ba3Ir2O9Sr1,0.1945
O4S1Zn1,4.4503
Rb3Sb1Se4,1.3257
S3Y2,1.4901
Be2Ge1La2O7,4.0034
B1H4Na1,6.3224
O3Sc2,4.2751
Ba1Cu1Er2O5,1.4443
Br9Rb3Sb2,1.9091
Co1La1O3,0.0991
Br1Cr1S1,0.7609999999999999
Al1Ca1F6Na1,7.1209
Dy1Li1O2,4.5771
Cd5Cl1O12P3,2.2236
O3Pr2,3.1722
Ca1Mn1O6Si2,3.3196
Cd1Li1O4P1,3.3533
Ca1Cu1Ge2O6,1.7771
Co1S1Sb1,0.3766
Cd1Er2Se4,0.6677
Ag2Mo1O4,2.733
Li16N8Nb2O1,3.3945
Ba6Cu11F34,2.0846
Be1O1,7.4456
Cl3La3O6U1,1.9534
B2K3Nb3O12,2.3678
Cs2S1,2.1025
O2Ru1,1.4858
In1Li1O6Si2,3.7395
Ba1O3Ti1,2.1328
Al1C3Cl6N3,2.5356
O1S1Zr1,2.4152
Cl2N4O12S10,1.3297
La3O7Ta1,3.6497
Mg2P2Se6,2.0273
As12Ce1Fe4,0.1511
Ba1F4Zn1,5.7228
As2Cd1Ge1,0.0342
C1F1K1O3Sr1,4.0697
C6Fe1K3N6,2.6016
O3W1,0.7364
Ho1O4V1,2.9578
Ce1Li8O6,3.4402
B4Li2O7,5.6321
Al3C3Sc1,0.3017
Te1Zn1,1.4766
Al1F5K2,6.2916
B1Ca1H1O5Si1,5.41
Ge1In7Ir1O8,0.4535
K0.33Mo1O3,0.7313
Sb2Te3,0.1061
B1C3H12N1,6.1029
La1O4V1,1.0965
O2Ti1,2.2658
Ge1Mg1O3,2.4363
C2H6O12U2,3.1609
As1Na3,0.1506
Bi3O8Re1,2.7415
Mg3Sb2,0.2136
Cu1O3Se1,1.1418
S1Zn1,2.6996
Fe1Mo2S4,0.1421
H5N1O7Se2V1,1.8895
Lu1Na1O8Pd6,0.1052
C2Cl4H12Mn1N2,3.8085
F6Rb2U1,3.5713
N2Pt1,1.3078
As1Br1Hg3O4,1.8581
Al6Cl2Na8O24Si6,4.6772
P1,0.1394
Re6Se12Tl4,1.0024
K1Nb1O3,1.7303
C2N2,4.7918
Bi2Fe4O9,1.6087
C3Cl5H14N1,5.7165
Mn4O7Si1,1.206
Li1Se2Tb1,1.5131
Be2O4Si1,5.8215
Al1La1O3,3.6385
Bi1Rb1,0.3931
Ba1Cu1La1Se3,1.0097
Ga1O3Y1,2.9478
B1H6N1,6.0607
N1O3Rb1,3.2546
Os1Sb2,0.4639
N2O4,2.7151
Er1O4V1,2.9478
K1Na1S1,2.5107
Cs1F3Pb1,2.9421
Fe3H6K1O14S2,1.0228
Al8Ge3Sr14,0.0447
H8N2O12Se1W3,2.6832
C6Ce1Fe1H8N6O4,0.8715
Cl1K1,5.0439
Fe1O3Ti1,1.9762
Cs2O9Si3Zr1,4.7947
Ca1F6Sn1,4.8292
Al2O5Si1,5.4388
Al1H3O3,5.0865
Cr2K3Na1O8,3.0352
Fe1K1O7P2,2.3605
As1F6K1,4.7861
Eu2O7Si2,0.2673
Nd1O4P1,3.977
P2Zn3,0.6882
Ba1F4Pd1,2.5479
Br1Cu1,0.9635
P1S4Tb1,2.1719
P6Rb4Se12,1.3949
Nd1Te2Tl1,0.6813
Cu1H4I2O8,1.8362
F11Fe1Na1Zr2,3.1147
Ag1Br13Mo6,2.3707
Mg1O3Si1,4.6846
C4H2N4O2Pt1Rb2,2.427
As2K3La1O8,3.7543
Au2O3,1.0319
Cd1In2Se4,0.9353
Ba4P4Si1,1.0874
Pb1Te1,0.7989
O3Tb2,3.9046
Br1H12N7P2,4.426
O1Sr1,3.2755
As1Ca3N1,0.8578
C2Fe1H2N4,3.0618
As4Ge3,0.1408
Ge1N2Zn1,2.0752
Mn1Na2O4,0.2657
Cl1Na1O3,5.6551
K1Na2Ni1O2,1.3869999999999998
H10N2O4S1,4.847
Br6Cd2H16O8Sr1,2.8592
I2,0.9761
Al1N1,4.0464
Ag1La1O1S1,1.6691
F3Nd1,5.2193
Cs6Ge8Zn1,1.0932
As1Ga1,0.2947
Cl1F8Sb1,3.1625
Mg1O4S1,5.5421
As4Ba3Si2,0.8232
Ca1Mn1O3,0.4467
Nd1S2Tl1,1.7461
In1Se1,0.3373
Ba2Na1O6Re1,1.9674
Al1F7Mg1Na2,6.6696
Au1C1Cl1O1,3.3942
Mo4O11Y4,0.3481
F2O7Te2V2,2.1831
Ag1Er1Se2,1.5616
I2Se8Tc6,0.4604
Cd1F7Rb1Zr1,5.2007
Ge1O2,3.1721
P5Y1,0.1222
F1H4K1O2,5.1395
Mg1Te1,2.3633
Al1Na1O6Si2,5.2363
Ni1O6Sr2W1,1.3386
O3Pb1Ti1,2.1795
Ba3Na1Nb1O6,3.2264
C6K3Mn1N6,1.3842
K2Te2,0.1841
Ge1Te1,0.3753
Ba1Ge2,0.4712
