split,r2_train,mae_train,rmse_train,r2_val,mae_val,rmse_val
0,0.5184134752635404,0.8848839506197479,1.0728106697484676,0.473564231191801,0.9198564567473132,1.135129689039774
1,0.5253591265982414,0.9035347253453749,1.0858830094754024,0.45999449801254944,0.9457153771002659,1.1496665091546259
2,0.5216478925616042,0.8773113114099232,1.0786624594438377,0.4711587808992461,0.9146881888119744,1.1377201152459209
3,0.5347730856586946,0.8819054003293754,1.0649047612585851,0.47806335820537704,0.9281802432589724,1.1302686484007307
4,0.48807099998368475,0.9518641383490107,1.144731316207091,0.4191984487922624,0.9800973923189661,1.1923030957197818
5,0.5624521982628605,0.8464831660460853,1.0324845302275114,0.5084643475925453,0.8849897156170564,1.0968577286107222
6,0.5242958883385447,0.8960933982062448,1.0866837324404541,0.46370165786107986,0.9339828097776463,1.1457134592142741
7,0.5423996635936922,0.8753458132464783,1.0639730878437121,0.4817731459758843,0.909553375955411,1.126244659802099
8,0.5525392848184499,0.8765852742924707,1.0603893692298554,0.48005096479711795,0.9178076171013643,1.1281144862943044
9,0.5188212157000319,0.8876872124863535,1.075382589640832,0.4707646486949132,0.9257297060845272,1.1381439935332585
